title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Spartacus,movie,"Adventure, Biography, Drama",1960,tt0054331,7.9,147877,
"Seven Years in Tibet",movie,"Adventure, Biography, Drama",1997,tt0120102,7.1,161735,
"Dirty Harry",movie,"Action, Crime, Thriller",1971,tt0066999,7.7,174969,
Eraserhead,movie,"Fantasy, Horror",1977,tt0074486,7.3,137014,
"Chimes at Midnight",movie,"Comedy, Drama, History",1965,tt0059012,7.6,10701,
"The Mortal Storm",movie,Drama,1940,tt0032811,7.7,6445,
Stagecoach,movie,"Adventure, Drama, Western",1939,tt0031971,7.8,56508,
"Double Indemnity",movie,"Crime, Drama, Film-Noir",1944,tt0036775,8.3,174735,
"Mulholland Drive",movie,"Drama, Mystery, Thriller",2001,tt0166924,7.9,406820,
Sommersby,movie,"Drama, Mystery, Romance",1993,tt0108185,6.3,23985,
"The Hidden Fortress",movie,"Adventure, Drama",1958,tt0051808,8,43997,
"Elevator to the Gallows",movie,"Crime, Drama, Thriller",1958,tt0051378,7.9,30201,
"The Prestige",movie,"Drama, Mystery, Sci-Fi",2006,tt0482571,8.5,1513542,
Dreamgirls,movie,"Drama, Musical",2006,tt0443489,6.6,78950,
Princesses,movie,Drama,2005,tt0434292,6.9,5814,
"The Queen",movie,"Biography, Drama",2006,tt0436697,7.3,117699,
"The Remains of the Day",movie,"Drama, Romance",1993,tt0107943,7.8,88661,
"Hannibal Rising",movie,"Adventure, Crime, Drama",2007,tt0367959,6.1,119107,
"Letters from Iwo Jima",movie,"Action, Adventure, Drama",2006,tt0498380,7.8,173672,
"The Host",movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,138485,
"Street Kings",movie,"Action, Crime, Thriller",2008,tt0421073,6.8,123862,
"Mr. Bean's Holiday",movie,"Comedy, Family",2007,tt0453451,6.4,138240,
300,movie,"Action, Drama",2006,tt0416449,7.6,890586,
TMNT,movie,"Action, Adventure, Animation",2007,tt0453556,6.2,70821,
Bean,movie,"Adventure, Comedy, Family",1997,tt0118689,6.5,113745,
"A Brief History of Time",movie,"Biography, Documentary",1991,tt0103882,7.3,6053,
"The Return of the King",movie,"Adventure, Animation, Family",1980,tt0079802,5.7,5223,
"The Hobbit",movie,"Adventure, Animation, Family",1977,tt0077687,6.7,17673,
Rocky,movie,"Drama, Sport",1976,tt0075148,8.1,659483,
"Rocky II",movie,"Drama, Sport",1979,tt0079817,7.3,240170,
"Rocky III",movie,"Drama, Sport",1982,tt0084602,6.8,219513,
"Blood Diamond",movie,"Adventure, Drama, Thriller",2006,tt0450259,8,606770,
"Rocky IV",movie,"Drama, Sport",1985,tt0089927,6.9,235510,
"Rocky V",movie,"Drama, Sport",1990,tt0100507,5.4,155918,
Stalker,movie,"Drama, Sci-Fi",1979,tt0079944,8,151215,
"The Pursuit of Happyness",movie,"Biography, Drama",2006,tt0454921,8,591181,
"Sex, Lies, and Videotape",movie,Drama,1989,tt0098724,7.2,62099,
"The Departed",movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1486675,
"Once Upon a Time in Mexico",movie,"Action, Crime, Thriller",2003,tt0285823,6.3,173587,
"Superman Returns",movie,"Action, Adventure, Sci-Fi",2006,tt0348150,6.1,296015,
"Touch of Evil",movie,"Crime, Drama, Film-Noir",1958,tt0052311,7.9,112636,
Hellboy,movie,"Action, Adventure, Fantasy",2004,tt0167190,6.9,361139,
"Miss Congeniality",movie,"Action, Comedy, Crime",2000,tt0212346,6.3,240037,
"The Last King of Scotland",movie,"Biography, Drama, History",2006,tt0455590,7.6,201048,
Flatliners,movie,"Drama, Horror, Sci-Fi",1990,tt0099582,6.6,96208,
"Down by Law",movie,"Comedy, Crime, Drama",1986,tt0090967,7.6,57093,
"The Spanish Apartment",movie,"Comedy, Drama, Romance",2002,tt0283900,7.3,43447,
Rope,movie,"Crime, Drama, Mystery",1948,tt0040746,7.9,160417,
"The Holiday",movie,"Comedy, Romance",2006,tt0457939,7,348406,
"School of Rock",movie,"Comedy, Music",2003,tt0332379,7.2,345112,
